#EquipmentID,EquipmentType,Rotation,PosX,PosY,PosZ,BasePlateWidth,BasePlateLength,BasePlateHeight,ImpellerWidth,ImpellerLength,ImpellerHeight,DriverWidth,DriverLength,MotorWidth,MotorLength,MotorHeight,ImpellerOffset,NozzleID,NozzleName,NozzleType,Diameter,Length,X,Y,Plane
SS-C1-V-V,HOR.Pump_Side-Side,180,158292,182982,175,800,2050,215,500,725,500,150,140,500,832,500,100,SUC,SUC,Suction,23,70,-170,-30,ImpellerLeft,DIS,DIS,Discharge,40,70,-170,-30,ImpellerRight
TT-A1-S-G-N,HOR.Pump_Top-Top,180,105906,93181,525,1500,2050,320,1200,725,500,150,140,1200,832,500,100,SUC,SUC,Suction,110,270,320,-33,ImpellerTop,DIS,DIS,Discharge,110,270,-360,-33,ImpellerTop
TT-A1-S-S-N,HOR.Pump_Top-Top,180,124656,93181,525,1500,2050,320,1200,725,500,150,140,1200,832,500,100,SUC,SUC,Suction,110,270,320,-33,ImpellerTop,DIS,DIS,Discharge,110,270,-360,-33,ImpellerTop
TT-A2-S-S-C,HOR.Pump_Top-Top,180,105208,123180,525,1500,2050,320,1200,725,500,150,140,1200,832,500,100,SUC,SUC,Suction,110,270,320,-33,ImpellerTop,DIS,DIS,Discharge,110,270,-360,-33,ImpellerTop
TT-A2-S-S-O,HOR.Pump_Top-Top,180,105206,150820,525,1500,2050,320,1200,725,500,150,140,1200,832,500,100,SUC,SUC,Suction,110,270,320,-33,ImpellerTop,DIS,DIS,Discharge,110,270,-360,-33,ImpellerTop
TT-B1-S-G-N,HOR.Pump_Top-Top,180,142553,93181,525,1500,2050,320,1200,725,500,150,140,1200,832,500,100,SUC,SUC,Suction,110,270,320,-33,ImpellerTop,DIS,DIS,Discharge,110,270,-360,-33,ImpellerTop
TT-B1-S-S-N,HOR.Pump_Top-Top,180,159404,93181,525,1500,2050,320,1200,725,500,150,140,1200,832,500,100,SUC,SUC,Suction,110,270,320,-33,ImpellerTop,DIS,DIS,Discharge,110,270,-360,-33,ImpellerTop
TT-B2-S-S-C,HOR.Pump_Top-Top,180,123605,123180,525,1500,2050,320,1200,725,500,150,140,1200,832,500,100,SUC,SUC,Suction,110,270,320,-33,ImpellerTop,DIS,DIS,Discharge,110,270,-360,-33,ImpellerTop
TT-B2-S-S-O,HOR.Pump_Top-Top,180,127605,150820,525,1500,2050,320,1200,725,500,150,140,1200,832,500,100,SUC,SUC,Suction,110,270,320,-33,ImpellerTop,DIS,DIS,Discharge,110,270,-360,-33,ImpellerTop
TT-C1-S-G-N,HOR.Pump_Top-Top,180,176105,93181,525,1500,2050,320,1200,725,500,150,140,1200,832,500,100,SUC,SUC,Suction,110,270,320,-33,ImpellerTop,DIS,DIS,Discharge,110,270,-360,-33,ImpellerTop
TT-C1-S-S-N,HOR.Pump_Top-Top,180,194705,93181,525,1500,2050,320,1200,725,500,150,140,1200,832,500,100,SUC,SUC,Suction,110,270,320,-33,ImpellerTop,DIS,DIS,Discharge,110,270,-360,-33,ImpellerTop
TT-C2-S-S-C,HOR.Pump_Top-Top,180,141555,123180,525,1500,2050,320,1200,725,500,150,140,1200,832,500,100,SUC,SUC,Suction,110,270,320,-33,ImpellerTop,DIS,DIS,Discharge,110,270,-360,-33,ImpellerTop
TT-C2-S-S-O,HOR.Pump_Top-Top,180,147505,150820,525,1500,2050,320,1200,725,500,150,140,1200,832,500,100,SUC,SUC,Suction,110,270,320,-33,ImpellerTop,DIS,DIS,Discharge,110,270,-360,-33,ImpellerTop
