92-MBD66670,VER. Vessel,NA,10326500,10523000,100200,5825,4000,0,4232,7000,1000,1000
92-MBD69512,VER. Vessel,NA,10353000,10543500,107750,3400,3500,0,0,0,875,0
95-MAF63121,VER. Vessel,NA,10137000,10751000,100200,25050,1936,0,1924,5600,484,484
95-MAF63131,VER. Vessel,NA,10143000,10751000,100200,19000,1650,0,1672,6300,412.5,412.5
95-MAF63141,VER. Vessel,NA,10149000,10751000,100200,17770,1200,0,1218,5550,300,300
95-MBA94141,VER. Vessel,NA,10258000,10693000,111000,15000,3800,0,3825,10800,950,950
95-MBD62311,VER. Vessel,NA,10260500,10758500,100200,5500,2400,0,2482,4800,600,600
95-MBD63111,VER. Vessel,NA,10126750,10748250,125200,3100,1100,0,0,0,275,0
95-MBD63133,VER. Vessel,NA,10155000,10751000,100200,5450,1860,0,1860,10300,465,465
95-MBD96511,VER. Vessel,NA,10233000,10744500,100400,3000,1750,0,1774,1500,437.5,437.5
95-MBD96611,VER. Vessel,NA,10224500,10782000,100200,3050,1550,0,1638,1400,387.5,387.5
95-MBD96612,VER. Vessel,NA,10236500,10782000,100200,2950,1350,0,1468,1250,337.5,337.5
95-MBD96622,VER. Vessel,NA,10220500,10718500,104800,18860,5200,0,5313,4600,1300,1300
95-MBD96623,VER. Vessel,NA,10217500,10707000,103500,6510,1500,0,1516,3300,375,375
98-MBD69170,VER. Vessel,NA,9725000,11050000,93500,8550,2750,0,2764,4800,687.5,687.5
98-MBD69180,VER. Vessel,NA,9725000,11031000,93500,8550,2750,0,2764,4800,687.5,687.5
