Pipe,2038
WeldNeckFlange,1765
PipingElbow90,1194
GateValve,416
PipingTee,327
UNKNOWN_COMPONENT,274
EccentricPipingReducer,200
ConcentricPipingReducer,194
CheckValve,173
BlindFlange,165
OpenSpectacleBlank,97
Flange,57
WeldOlet,31
BallValve,27
SockOlet,25
PipingLateralTee,23
PipingElbow45,16
PipingCap,15
ThreeWayInstrumentRootvalve,12
AngleCheckValve,10
StubInReinforcingWeld,9
SlipOnFlange,8
PipingCoupling,6
PipingPlug,4
Olet,2
ButterflyValve,2
ElbOlet,1
