FLG-020-0001,-11898028,9279700,111899,-11888930,9292600,108141,
FLG-020-0003,-11896201,9289304,113038,-11900500,9318619,113731,
P-020-0010,-11900640,9281353,107761,-11889440,9318800,101468,
P-020-0265,-11894685,9333346,100759,-11899345,9333346,100759,
P-020-0380,-11897057,9300985,104761,-11886148,9320212,103957,
P-020-0218,-11896487,9279171,105736,-11900809,9329408,101500,
P-020-0304,-11896012,9280798,107736,-11904468,9329887,100850,
P-020-2001,-11896407,9277935,105736,-11902346,9298549,100686,
P-020-2004,-11896882,9279896,105736,-11903196,9297752,100686,
P-020-2016,-11909666,9307131,101748,-11889426,9322900,101418,
P-020-2042,-11885737,9334630,100814,-11888289,9345193,106273,
P-020-2063,-11882243,9347459,102706,-11892690,9280238,107786,
P-020-4001,-11897738,9281280,104736,-11902346,9295449,100686,
P-020-4004,-11897832,9277445,105736,-11903197,9296246,100686,
P-020-4016,-11909666,9306384,101748,-11904573,9322900,101418,
P-020-4042,-11905710,9345193,106273,-11908260,9334630,100814,
P-020-4063,-11910860,9349500,103307,-11901579,9278263,107786,
P-020-0006,-11894917,9278425,105609,-11893190,9297895,101500,
P-020-0294,-11904180,9319800,102136,-11896607,9271769,106584,
P-020-0295,-11908390,9319800,101163,-11900438,9304114,102441,
P-020-2047,-11886158,9326090,100659,-11882999,9336289,101408,
P-020-2052,-11893190,9320592,100609,-11898754,9279748,107709,
P-020-2261,-11894685,9333349,100759,-11883000,9344290,105731,
P-020-4047,-11911000,9336290,101408,-11907839,9326090,100659,
P-020-4052,-11900809,9320592,100609,-11899219,9279188,107709,
P-020-4261,-11911000,9344290,105731,-11899345,9333349,100759,
WO-020-0136,-11893199,9369628,118901,-11898048,9276707,107584,
P-020-0269,-11899345,9338230,100734,-11896425,9274694,105734,
P-020-0308,-11900800,9292874,102098,-11892515,9274630,105584,
P-020-0309,-11900438,9304114,102441,-11892785,9274110,105584,
P-020-0311,-11900800,9291898,100597,-11900800,9292874,102098,
P-020-0417,-11893199,9335802,100634,-11897057,9320668,104684,
P-020-0427,-11894685,9338230,100734,-11896054,9337582,105734,
P-020-0580,-11900800,9291896,100597,-11900800,9276175,110539,
P-020-2025,-11894714,9323122,100557,-11903261,9313717,106300,
P-020-2061,-11884853,9341179,101138,-11883139,9349850,101113,
P-020-4025,-11903262,9304283,106300,-11899285,9323122,100557,
P-020-4061,-11901025,9347487,103683,-11909146,9341179,101138,
WO-020-0114,-11882100,9365664,100865,-11877829,9368192,100634,
P-020-0248,-11895287,9275114,105708,-11890149,9314900,102011,
P-020-2039,-11895979,9280535,109156,-11895341,9345429,113995,
P-020-4039,-11896359,9280155,109156,-11898656,9345429,113995,
RFW-020-9101,-11910766,9364310,100892,-11897035,9274337,104161,
